"Identificador do processo de viagem";"Código do órgão superior";"Nome do órgão superior";"Codigo do órgão pagador";"Nome do órgao pagador";"Código da unidade gestora pagadora";"Nome da unidade gestora pagadora";"Tipo de pagamento";"Valor"
"0000000000015233002";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"233,17"
"0000000000015233002";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"666,68"
"0000000000015233002";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"336,53"
"0000000000015463315";"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35000";"MINISTERIO DAS RELACOES EXTERIORES - UNIDADES COM VÍNCULO DIRETO";"240009";"DEPARTAMENTO DO SERVICO EXTERIOR - MRE";"PASSAGEM                      ";"2424,19"
"0000000000015463318";"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35000";"MINISTERIO DAS RELACOES EXTERIORES - UNIDADES COM VÍNCULO DIRETO";"240009";"DEPARTAMENTO DO SERVICO EXTERIOR - MRE";"PASSAGEM                      ";"2424,19"
"0000000000015553025";"52000";"MINISTERIO DA DEFESA";"52000";"MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"PASSAGEM                      ";"599,27"
"0000000000015553025";"52000";"MINISTERIO DA DEFESA";"52000";"MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"PASSAGEM                      ";"643,57"
"0000000000015557481";"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35000";"MINISTERIO DAS RELACOES EXTERIORES - UNIDADES COM VÍNCULO DIRETO";"240009";"DEPARTAMENTO DO SERVICO EXTERIOR - MRE";"PASSAGEM                      ";"2933,37"
"0000000000015557595";"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35000";"MINISTERIO DAS RELACOES EXTERIORES - UNIDADES COM VÍNCULO DIRETO";"240009";"DEPARTAMENTO DO SERVICO EXTERIOR - MRE";"PASSAGEM                      ";"2102,64"
"0000000000015557640";"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35000";"MINISTERIO DAS RELACOES EXTERIORES - UNIDADES COM VÍNCULO DIRETO";"240009";"DEPARTAMENTO DO SERVICO EXTERIOR - MRE";"PASSAGEM                      ";"2102,64"
"0000000000015603562";"52000";"MINISTERIO DA DEFESA";"52000";"MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"PASSAGEM                      ";"690,20"
"0000000000015603562";"52000";"MINISTERIO DA DEFESA";"52000";"MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"PASSAGEM                      ";"1005,47"
"0000000000015603601";"52000";"MINISTERIO DA DEFESA";"52000";"MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"PASSAGEM                      ";"1010,20"
"0000000000015603601";"52000";"MINISTERIO DA DEFESA";"52000";"MINISTERIO DA DEFESA - UNIDADES COM VÍNCULO DIRETO";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"PASSAGEM                      ";"1569,47"
"0000000000015603934";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"1148,88"
"0000000000015606199";"35000";"MINISTERIO DAS RELACOES EXTERIORES";"35000";"MINISTERIO DAS RELACOES EXTERIORES - UNIDADES COM VÍNCULO DIRETO";"240009";"DEPARTAMENTO DO SERVICO EXTERIOR - MRE";"PASSAGEM                      ";"2559,99"
"0000000000015623942";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"233,17"
