"Identificador do processo de viagem ";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000015233002";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015233002";"3";"20190111";"Brasil";"Paraná";"Curitiba";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015233002";"2";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Paraná";"Curitiba";"Aéreo";",00";"Sim"
"0000000000015463315";"1";"20190108";"Portugal";"";"Lisboa";"20190114";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015463318";"1";"20190108";"Portugal";"";"Lisboa";"20190114";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015553025";"2";"20190203";"Brasil";"Piauí";"Teresina";"20190203";"Brasil";"Amazonas";"Manaus";"Aéreo";",00";"Não"
"0000000000015553025";"1";"20190118";"Brasil";"Amazonas";"Manaus";"20190203";"Brasil";"Piauí";"Teresina";"Aéreo";",00";"Sim"
"0000000000015557481";"1";"20190103";"Uruguai";"";"Montevidéu";"20190105";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015557595";"1";"20190103";"Uruguai";"";"Montevidéu";"20190106";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015557640";"1";"20190103";"Uruguai";"";"Montevidéu";"20190106";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015603562";"1";"20190118";"Brasil";"São Paulo";"São Paulo";"20190203";"Brasil";"Piauí";"Teresina";"Aéreo";",00";"Sim"
"0000000000015603562";"2";"20190203";"Brasil";"Piauí";"Teresina";"20190203";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015603601";"1";"20190118";"Brasil";"São Paulo";"São Paulo";"20190203";"Brasil";"Piauí";"Teresina";"Aéreo";",00";"Sim"
"0000000000015603601";"2";"20190203";"Brasil";"Piauí";"Teresina";"20190203";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015606199";"1";"20190102";"Brasil";"Distrito Federal";"Brasília";"20190104";"Uruguai";"";"Montevidéu";"Aéreo";",00";"Sim"
"0000000000015623942";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015623942";"3";"20190111";"Brasil";"Paraná";"Curitiba";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015623942";"2";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Paraná";"Curitiba";"Aéreo";",00";"Sim"
"0000000000015646242";"1";"20190108";"Panamá";"";"Cidade do Panamá";"20190114";"Estados Unidos da América";"";"Miami";"Aéreo";",00";"Sim"
"0000000000015666333";"2";"20190104";"Portugal";"";"Lisboa";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015666333";"1";"20190103";"Bulgária";"";"Sofia";"20190104";"Portugal";"";"Lisboa";"Aéreo";",00";"Não"
"0000000000015666342";"2";"20190104";"Portugal";"";"Lisboa";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015666342";"1";"20190103";"Bulgária";"";"Sofia";"20190104";"Portugal";"";"Lisboa";"Aéreo";",00";"Não"
"0000000000015666348";"2";"20190104";"Portugal";"";"Lisboa";"20190110";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015666348";"1";"20190103";"Bulgária";"";"Sofia";"20190104";"Portugal";"";"Lisboa";"Aéreo";",00";"Não"
"0000000000015685570";"1";"20190106";"Brasil";"Distrito Federal";"Brasília";"20190108";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Sim"
"0000000000015685570";"2";"20190108";"Brasil";"Pernambuco";"Recife";"20190108";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
